included	classification_title	N	title	abstract
0	"Abramson, E. L., et al. (2014). Research training among pediatric residency programs: A national assessment."" Academic Medicine 89(12): 1674-1680."""	7	"Abramson, E. L., et al. (2014). """"Research training among pediatric residency programs: A national assessment."""" Academic Medicine 89(12): 1674-1680."""""	" Purpose: The Accreditation Council for Graduate Medical Education (ACGME) states that 'residents should participate in scholarly activity.' However, there is little guidance for effectively integrating scholarly activity into residency. This study was conducted to understand how pediatric residency programs meet ACGME requirements and to identify characteristics of successful programs. Method: The authors conducted an online cross-sectional survey of all pediatric residency program directors in October 2012, assessing program characteristics, resident participation in scholarly activity, program infrastructure, barriers, and outcomes. Multivariate logistic regression was used to identify characteristics of programs in the top quartile for resident scholarly activity participation. Results: The response rate was 52.8% (105/199 programs). Seventy-seven (78.6%) programs required scholarly activity, although definitions were variable. When including only original research, systematic reviews or meta-analyses, and case reports or series with references, resident participation averaged 56% (range 0%–100%). Characteristics associated with high-participation programs included a scholarly activity requirement (odds ratio [OR] = 5.5, 95% confidence interval [CI] = 1.03–30.0)  program director belief that all residents should present work regionally or nationally (OR = 4.7, 95% CI = 1.5–15.1)  and mentorship by >25% of faculty (OR = 3.6, CI = 1.2–11.4). Only 47.1% (41) of program directors were satisfied with resident participation, and only 30.7% (27) were satisfied with the quality of research training provided. Conclusions: The findings suggest that resident scholarly activity experience is highly variable and suboptimal. Identifying characteristics of successful programs can improve the resident research training experience. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
0	"Aceska, N. (2016). New Science Curriculum Based on Inquiry Based Learning--A Model of Modern Educational System in Republic of Macedonia."" Journal of Education in Science, Environment and Health 2(1): 1-12."""	8	"Aceska, N. (2016). """"New Science Curriculum Based on Inquiry Based Learning--A Model of Modern Educational System in Republic of Macedonia."""" Journal of Education in Science, Environment and Health 2(1): 1-12."""""	" The process of globalization, more progressive development of the scientific findings, new technology and the way of communicating with the new forms of literacy in which the most secure spot has been taken by the development of natural sciences in the spirit of ""sustainable development"""" have been the reasons that make science and sustainable development an educational imperative. The development of """"natural sciences"""" in the educational processes in Republic of Macedonia has become an essential process which is being permanently improved with the goal to find the best solutions for its improvement. Currently, all of the elementary grade teachers have to face this process. One of the most recent changes is the study of natural sciences according to the adapted educational """"curriculum"""" from the Cambridge International Examination Center. The goal of this reform is to lead the students on the right way of becoming future """"scientists"""". The programs include research that encourages students to ask questions and derive the answers themselves with the support from their teachers. This is a proven method with which natural science classes will become more interesting for the students and the findings will remain learned. The educational curriculum also allows the students to develop their critical thinking and to think and use the proofs. Students will easily learn that natural sciences are important and can help them in solving everyday life's problems according to the principles of education for sustainable development. A very important part in the adaptation and realization of the adapted educational curriculum from the Cambridge International Examination Center is being played by the """"information and communication technology"""" (""""ICT"""") that is a very useful resource for the development of the knowledge, skills and understanding among students. ICT needs to improve the quality of the teaching. The teachers will have the opportunity to choose and use the most appropriate and effective ICT resources."""""
0	"Ackers, L. (2008). Internationalisation, Mobility and Metrics: A New Form of Indirect Discrimination?"" Minerva: A Review of Science, Learning and Policy 46(4): 411-435."""	9	"Ackers, L. (2008). """"Internationalisation, Mobility and Metrics: A New Form of Indirect Discrimination?"""" Minerva: A Review of Science, Learning and Policy 46(4): 411-435."""""	" This paper discusses the relationship between internationalisation, mobility, quality and equality in the context of recent developments in research policy in the European Research Area (ERA). Although these developments are specifically concerned with the growth of research capacity at European level, the issues raised have much broader relevance to those concerned with research policy and highly skilled mobility. The paper draws on a wealth of recent research examining the relationship between mobility and career progression with particular reference to a recently completed empirical study of doctoral mobility in the social sciences (Ackers et al. ""Doctoral Mobility in the Social Sciences."""" Report to the NORFACE ERA-Network, 2007). The paper is structured as follows. The first section introduces recent policy developments including the European Charter for Researchers and Code of Conduct for the Recruitment of Researchers and the European Commission's Green Paper on the ERA. The discussion focuses on concerns around the definition of """"mobility"""" and the tendency (in both policy circles and academic research) to conflate different forms of mobility and to equate these with notions of excellence or quality. Scientific mobility is shaped as much by """"push"""" factors (limited opportunity) as it is by the """"draw"""" of excellence. Scientists are exercising a degree of """"choice"""" within a specific and individualised framework of constraints. The following sections consider some of the """"professional"""" and """"personal"""" factors shaping scientific mobility and the influence that these have on the relationship between mobility, internationalisation and excellence. The paper concludes that mobility is not an outcome in its own right and must not be treated as such (as an implicit indicator of internationalisation). To do so contributes to differential opportunity in scientific labour markets reducing both efficiency and equality."""""
0	"Adedokun, B., et al. (2014). Sharing perspectives and experiences of doctoral fellows in the first cohort of Consortium for Advanced Research Training in Africa: 2011-2014."" Global Health Action 7: 1-5."""	10	"Adedokun, B., et al. (2014). """"Sharing perspectives and experiences of doctoral fellows in the first cohort of Consortium for Advanced Research Training in Africa: 2011-2014."""" Global Health Action 7: 1-5."""""	" Background: Resolution of public health problems in Africa remains a challenge because of insufficient skilled human resource capacity. The Consortium for Advanced Research Training in Africa (CARTA) was established to enhance capacity in multi-disciplinary health research that will make a positive impact on population health in Africa. Objective: The first cohort of the CARTA program describes their perspectives and experiences during the 4 years of fellowship and puts forward suggestions for future progress and direction of research in Africa. Conclusions: The model of training as shown by the CARTA program is an effective model of research capacity building in African academic institutions. An expansion of the program is therefore warranted to reach out to more African academics in search of advanced research training."""
1	"Adedokun, O. A. and W. D. Burgess (2011). Uncovering Students' Preconceptions of Undergraduate Research Experiences."" Journal of STEM Education: Innovations and Research 12(5): 11."""	12	"Adedokun, O. A. and W. D. Burgess (2011). """"Uncovering Students' Preconceptions of Undergraduate Research Experiences."""" Journal of STEM Education: Innovations and Research 12(5): 11."""""	" Like all learners, undergraduate research interns bring to their research internships a variety of initial ideas, opinions, expectations, beliefs and attitudes about research internships. However, there is little published research on students' preconceptions about research internships and the relationships of these preconceptions to actual experiences. There is also a dearth of information about potential influences of preconceptions on the learning process and gains that accrue to students involved in undergraduate research experiences (UREs). Using qualitative data from twenty five undergraduate research interns' reflective journals, the current study examines students' preconceptions of UREs and how those preconceptions compare with students' actual experiences. The analysis showed that prior to their research experiences, participants imagined research environments/laboratories as stern places devoid of social interactions. Interns also held preconceived traditional stereotypical views of their faculty mentors as scientists. Other preconceptions included the expectation of extensive one-on-one mentoring from faculty mentors and the preconception of research work as team rather than independent work. Further, the study found that students' preconceptions were mostly contradicted by their experiences in their research internships. The limitations of the study and the practical implications of the findings for devising meaningful and effective undergraduate research experiences are discussed. (Contains 1 table.)"""
1	"Adedokun, O. A., et al. (2013). Research skills and STEM undergraduate research students' aspirations for research careers: Mediating effects of research self‐efficacy."" Journal of Research in Science Teaching 50(8): 940-951."""	11	"Adedokun, O. A., et al. (2013). """"Research skills and STEM undergraduate research students' aspirations for research careers: Mediating effects of research self‐efficacy."""" Journal of Research in Science Teaching 50(8): 940-951."""""	" Positive student outcomes of undergraduate research experiences (UREs) have been well documented, however, many studies have neglected the logical relationship among outcomes, the processes through which they are achieved, and the contextual and participant factors at play in UREs. This study uses structural equation modeling to explore these issues in a URE program. The study tested a hypothesized model of the mediating effect of participant research self-efficacy on the relationship between their research skills and desire to persist in science. Results indicate that research skills and research self-efficacy predict student aspirations for research careers, and that the effects of research skills are partially mediated through self-efficacy beliefs. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
1	"Adedokun, O. A., et al. (2014). Effect of Time on Perceived Gains from an Undergraduate Research Program."" CBE - Life Sciences Education 13(1): 139-148."""	13	"Adedokun, O. A., et al. (2014). """"Effect of Time on Perceived Gains from an Undergraduate Research Program."""" CBE - Life Sciences Education 13(1): 139-148."""""	" The current study examines the trajectories of student perceived gains as a result of time spent in an undergraduate research experience (URE). Data for the study come from a survey administered at three points over a 1-yr period: before participation in the program, at the end of a Summer segment of research, and at the end of the year. Repeated-measures analysis of variance was used to examine the effect of time on perceived gains in student research skills, research confidence, and understanding of research processes. The results suggest that the students experienced different gains/benefits at developmentally different stages of their UREs. Participants reported gains in fewer areas at the end of the Summer segment compared with the end of the yearlong experience, thus supporting the notion that longer UREs offer students more benefit."""
0	"Adelberger, A., et al. (2011). Estimating nurse migration from the Bahamas between 1994 and 2005: An exploratory descriptive study using a social network identification methodology."" Global Public Health: An International Journal for Research, Policy and Practice 6(7): 732-745."""	14	"Adelberger, A., et al. (2011). """"Estimating nurse migration from the Bahamas between 1994 and 2005: An exploratory descriptive study using a social network identification methodology."""" Global Public Health: An International Journal for Research, Policy and Practice 6(7): 732-745."""""	" The purpose of this study was to collect primary data on the migration patterns of Bahamian nurses who had registered as nurses during the period 1994-2005. We used an established social network identification method developed by Delanyo Dovlo to determine whether (and to where) Bahamian nurses had migrated. We reviewed nursing registrants’ records from the Nursing Council of the Commonwealth of the Bahamas. We telephoned two nurses per cohort of registration and graduation year, asking the interviewee to identify the current location of colleagues registered in their same cohort. Between 1994 and 2005, a total of 18 out of 282 nurses were either confirmed or probably migrated (6%). Ninety-six per cent of those nurses registered during the study time frame were located during the exercise, partially because of an improvement on the Dovlo method—calling a nurse leader who could locate nursing classmates and colleagues beyond his or her own year of graduation. Nurse migration in the Bahamas appears lower than in surrounding countries, posing a research opportunity to investigate the causes for this positive deviation. Future studies employing this method should include interviews of nurse leaders who can confirm the location of a much wider range of people than can the average participant. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
0	"Adler, I., et al. (2016). The Effect of Explicit Environmentally Oriented Metacognitive Guidance and Peer Collaboration on Students' Expressions of Environmental Literacy."" Journal of Research in Science Teaching 53(4): 620-663."""	15	"Adler, I., et al. (2016). """"The Effect of Explicit Environmentally Oriented Metacognitive Guidance and Peer Collaboration on Students' Expressions of Environmental Literacy."""" Journal of Research in Science Teaching 53(4): 620-663."""""	" The prevalence of habitat and life-threatening environmental problems has motivated environmental researchers to develop education programs to strengthen students' environmental literacy. We argue that the connection between environmental literacy and metacognition is theoretically promising. Therefore, we developed the ""Meta-CIC"""" model, which is designed to develop students' environmental literacy, in parallel to supporting their metacognition. The core of this model is open inquiry-based learning. An explicit environmentally focused metacognitive guidance (""""Meta"""") was embedded within the inquiry setting. This guidance referred to the components of metacognition and the strands of environmental literacy. The model includes two levels of collaboration: the """"Collaborating Inquiry"""" (CI), which refers to the interactions between a pair of students working on an inquiry project"" "" and the """"Collaborating Inquiry Community"""" (CIC), which refers to the interactions among pairs of students working on different projects. We investigated the contribution of the """"Meta""""-CIC model to students' expression of environmental literacy. For this purpose, 250 seventh and eight grade students, who conducted open inquiry projects throughout a full school year, participated in this research. We examined students' environmental literacy using two tools: an environmental literacy questionnaire, which adopts a positivist, outcome-based approach"" "" and an innovative Environmental Literacy INventory (ELIN), which adopts a phenomenological process-based approach. The environmental literacy questionnaire served as pre- and post-test measurements. The ELIN was used to analyze students' reflections, following their involvement in the inquiry process. The results of this study provide supporting evidence for the theoretical relationship between metacognition and environmental literacy, and demonstrate the different effects of the """"Meta"""" and the """"CIC"""" components on students' expressions of environmental literacy. The results also point to the importance of providing explicit and context-based metacognitive support. This study highlights the importance of developing students' high order thinking and implementing the """"Meta-CIC"""" model, within the framework of environmental education."""""
1	"Adorno, D. P. and N. Pizzolato (2015). An inquiry-based approach to the Franck-Hertz experiment."" Nuovo Cimento C-Colloquia and Communications in Physics 38(3)."""	16	"Adorno, D. P. and N. Pizzolato (2015). """"An inquiry-based approach to the Franck-Hertz experiment."""" Nuovo Cimento C-Colloquia and Communications in Physics 38(3)."""""	" The practice of scientists and engineers is today exerted within interdisciplinary contexts, placed at the intersections of different research fields, including nanoscale science. The development of the required competences is based on an effective science and engineering instruction, which should be able to drive the students towards a deeper understanding of quantum mechanics fundamental concepts and, at the same time, strengthen their reasoning skills and transversal abilities. In this study we report the results of an inquiry-driven learning path experienced by a sample of 12 electronic engineering undergraduates engaged to perform the Franck-Hertz experiment. Before being involved in this experimental activity, the students received a traditional lecture-based instruction on the fundamental concepts of quantum mechanics, but their answers to an open-ended questionnaire, administered at the beginning of the inquiry activity, demonstrated that the acquired knowledge was characterized by a strictly theoretical vision of quantum science, basically in terms of an artificial mathematical framework having very poor connections with the real world. The Franck Hertz experiment was introduced to the students by starting from the problem of finding an experimental confirmation of the Bohr's postulates asserting that atoms can absorb energy only in quantum portions. The whole activity has been videotaped and this allowed us to deeply analyse the student perception's change about the main concepts of quantum mechanics. We have found that the active participation to this learning experience favored the building of cognitive links among student theoretical perceptions of quantum mechanics and their vision of quantum phenomena, within an everyday context of knowledge. Furthermore, our findings confirm the benefits of integrating traditional lecture-based instruction on quantum mechanics with learning experiences driven by inquiry-based teaching strategies."""
0	"Agbayahoun, J. P. (2016). Teacher Professional Development: EFL Teachers' Experiences in the Republic of Benin."" International Journal of English Linguistics 6(4): 144-152."""	17	"Agbayahoun, J. P. (2016). """"Teacher Professional Development: EFL Teachers' Experiences in the Republic of Benin."""" International Journal of English Linguistics 6(4): 144-152."""""	" Using a survey, this study examines EFL teachers' views on professional development, the models of teacher development they are familiar with, and their experiences in the area. The study also inquires into the teachers' knowledge and opinions about inquiry-based teaching. The results indicate that though the EFL teachers often have the opportunity to participate in teacher development activities, these activities do not enable them to develop the skill of reflection and action on practice as they are patterned on top-down models of teacher development and happen in a one-shot workshop-style. Other teacher development activities such as action-research, reading research findings in the field, peer observation, mentoring, or teacher networking are unfamiliar to them. While the participant EFL teachers acknowledged that the top-down teacher development activities give them exposure to informative input, they also reported that such activities, paradoxically, have little impact on their teaching and students' learning. Most of them acknowledged having very little knowledge of teacher development activities that involve self-intiative and autonomy, and they expressed interest in learning about and trying action-research in their classrooms."""
0	"Ahmad, S., et al. (2013). Status of Anesthesiology Resident Research Education in the United States: Structured Education Programs Increase Resident Research Productivity."" Anesthesia and Analgesia 116(1): 205-210."""	18	"Ahmad, S., et al. (2013). """"Status of Anesthesiology Resident Research Education in the United States: Structured Education Programs Increase Resident Research Productivity."""" Anesthesia and Analgesia 116(1): 205-210."""""	" BACKGROUND: The enhancement of resident research education has been proposed to increase the number of academic anesthesiologists with the skills and knowledge to conduct meaningful research. Program directors (PDs) of the U.S. anesthesiology residency programs were surveyed to evaluate the status of research education during residency training and to test the hypothesis that structured programs result in greater resident research productivity based on resident publications. METHODS: Survey responses were solicited from 131 anesthesiology residency PDs. Seventy-four percent of PDs responded to the survey. Questions evaluated department demographic information, the extent of faculty research activity, research resources and research funding in the department, the characteristics of resident research education and resident research productivity, departmental support for resident research, and perceived barriers to resident research education. RESULTS: Thirty-two percent of programs had a structured resident research education program. Structured programs were more likely to be curriculum based, require resident participation in a research project, and provide specific training in presentation and writing skills. Productivity expectations were similar between structured and nonstructured programs. Forty percent of structured programs had > 20% of trainees with a publication in the last >= 2 years compared with 14% of departments with unstructured programs (difference, 26%  99% confidence interval [Cl], 8%-51%  P = 0.01). The percentage of programs that had research rotations for months was not different between the structured and the nonstructured programs. A research rotation of >2 months did not increase the percentage of residents who had published an article within the last 2 months compared with a research rotation of <2 months (difference, 13%  99% Cl, 10%-37%  P = 0.14). There was no difference in the percentage of faculty involved in research in structured compared with unstructured research education. In programs with <20% of faculty involved in research, 15% reported >20% of residents with a publication in the last 2 years compared with 36% in programs with >20% of faculty involvement (difference, 21%  99% Cl, -4% to 46%  P = 0.03). CONCLUSIONS: Our findings suggest that structured residency research programs are associated with higher resident research productivity. The program duration and the fraction of faculty in resident research education did not significantly increase research productivity. Research training is an integral component of resident education, but the mandatory enhancement of resident research education will require a significant change in the culture of academic anesthesiology leadership and faculty. (Anesth Analg 2013 116:205-10)"""
0	"Ahmadi-Abhari, S., et al. (2008). Knowledge and attitudes of trainee physicians regarding evidence-based medicine: A questionnaire survey in Tehran, Iran."" Journal of Evaluation in Clinical Practice 14(5): 775-779."""	19	"Ahmadi-Abhari, S., et al. (2008). """"Knowledge and attitudes of trainee physicians regarding evidence-based medicine: A questionnaire survey in Tehran, Iran."""" Journal of Evaluation in Clinical Practice 14(5): 775-779."""""	" Rationale, aims and objectives: Knowledge in evidence-based medicine (EBM) is increasingly becoming a core competence in medical education. We evaluated the trainee doctors' attitudes and knowledge of EBM to obtain the basis required for developing appropriate teaching and learning opportunities. Methods: Trainee physicians at a Tehran University hospital were surveyed. The questionnaire included six questions evaluating knowledge of EBM, the number of correct answers yielding the knowledge score, and eight questions evaluating attitudes towards EBM. Participants were also asked to mark on a 10-cm Visual Analogue Scale their use of various information sources and tendency to participate in EBM training courses. Results: The response rate was 80% (104/130). The mean knowledge score was 3 ± 1.3 (SD) on a range of 0-6 for all respondents and was not significantly different between interns (2.9 ± 1.4) and postgraduates (3.3 ± 1.0). Forty one per cent of interns and 66% of postgraduates had a positive attitude towards EBM  the remaining respondents were neutral. Textbooks and consulting experts were the most, and Cochrane Library was the least, used sources of information among both interns and postgraduates. The knowledge score was not associated with attitude, but was higher in those with previous research experience, prior EBM training, or the postgraduates that read more articles. The postgraduates and those with prior EBM training showed a significantly more positive attitude towards EBM. Conclusion: The present study demonstrates that the majority of trainee physicians at a Tehran University hospital lack adequate knowledge about basic concepts of EBM. Furthermore, most of them continue to use traditional sources of knowledge rather than evidence-based sources. On the positive side, there was an overall positive attitude towards EBM and the majority had a positive tendency to take part in EBM training courses. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
0	"Ahmed, S. and D. Parsons (2013). Abductive Science Inquiry Using Mobile Devices in the Classroom."" Computers & Education 63: 62-72."""	20	"Ahmed, S. and D. Parsons (2013). """"Abductive Science Inquiry Using Mobile Devices in the Classroom."""" Computers & Education 63: 62-72."""""	" Recent advancements in digital technology have attracted the interest of educators and researchers to develop technology-assisted inquiry-based learning environments in the domain of school science education. Traditionally, school science education has followed deductive and inductive forms of inquiry investigation, while the abductive form of inquiry has previously been sparsely explored in the literature related to computers and education. We have therefore designed a mobile learning application ""ThinknLearn"""", which assists high school students in generating hypotheses during abductive inquiry investigations. The M3 evaluation framework was used to investigate the effectiveness of using """"ThinknLearn"""" to facilitate student learning. The results indicated in this paper showed improvements in the experimental group's learning performance as compared to a control group in pre-post tests. In addition, the experimental group also maintained this advantage during retention tests as well as developing positive attitudes toward mobile learning. (Contains 7 figures and 6 tables.)"""""
